ref_id,name,chassis_code,year,price_usd,price_jpy,mileage_km,engine_cc,fuel,transmission,steering,vehicle_type,options,has_sunroof,has_leather,has_navigation,has_alloy_wheels,has_4wd,has_airbag,has_abs,has_camera,location,date_listed,detail_url
CD357292,2025 BMW X1 SDRIVE18IM,CD357292,2025,"$29,610",,4509,1500,,AT,,,,0,0,0,0,0,0,0,0,Niigata,,https://www.beforward.jp/bmw/x1/cd357292/id/15311660/?mfg_year_from=2018
CD357295,2018 JEEP WRANGLER,CD357295,2018,"$16,810",,46932,3600,,AT,,,,0,0,0,0,0,0,0,0,Osaka,,https://www.beforward.jp/jeep/wrangler/cd357295/id/15311663/?mfg_year_from=2018
CD357298,2022 MERCEDES-BENZ G-CLASS G63,CD357298,2022,"$150,200",,10598,4000,,AT,,,,0,0,0,0,0,0,0,0,Osaka,,https://www.beforward.jp/mercedes-benz/g-class/cd357298/id/15311666/?mfg_year_from=2018
CD357299,2025 AUDI Q3 35TFSIS,CD357299,2025,"$28,680",,3695,1500,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/audi/q3/cd357299/id/15311667/?mfg_year_from=2018
CD357314,2024 BMW X3 XDRIVE20DM,CD357314,2024,"$27,880",,48623,2000,,AT,,,,0,0,0,0,0,0,0,0,Osaka,,https://www.beforward.jp/bmw/x3/cd357314/id/15311682/?mfg_year_from=2018
CD357328,2024 JEEP GRAND CHEROKEE 4XE,CD357328,2024,"$36,340",,10446,2000,,AT,,,,0,0,0,0,0,0,0,0,Osaka,,https://www.beforward.jp/jeep/grand-cherokee/cd357328/id/15311696/?mfg_year_from=2018
CD357329,2025 MERCEDES-BENZ GLS CLASS GLS450D4AMG,CD357329,2025,"$84,770",,4430,3000,,AT,,,,0,0,0,0,0,0,0,0,Hokkaido,,https://www.beforward.jp/mercedes-benz/gls-class/cd357329/id/15311697/?mfg_year_from=2018
CD357343,2019 MAZDA CX-3 20SS,CD357343,2019,"$8,150",,68480,2000,,AT,,,,0,0,0,0,0,0,0,0,Kobe,,https://www.beforward.jp/mazda/cx-3/cd357343/id/15311711/?mfg_year_from=2018
CD357352,2024 SUBARU SUBARU OTHERS,CD357352,2024,"$14,110",,4868,2000,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/subaru/subaru-others/cd357352/id/15311721/?mfg_year_from=2018
CD357357,2021 VOLVO XC60 D4AWD,CD357357,2021,"$20,270",,54227,2000,,AT,,,,0,0,0,0,1,0,0,0,Kobe,,https://www.beforward.jp/volvo/xc60/cd357357/id/15311726/?mfg_year_from=2018
CD357448,2020 TOYOTA LAND CRUISER PRADO 2.8TXL,CD357448,2020,"$29,870",,55818,2800,,AT,,,,0,0,0,0,0,0,0,0,Kobe,,https://www.beforward.jp/toyota/land-cruiser-prado/cd357448/id/15311817/?mfg_year_from=2018
CD357378,2024 SUBARU FORESTER,CD357378,2024,"$20,710",,15345,2000,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/subaru/forester/cd357378/id/15311747/?mfg_year_from=2018
CD357393,2023 BMW X3 XDRIVE20DM,CD357393,2023,"$28,220",,38330,2000,,AT,,,,0,0,0,0,0,0,0,0,Nagoya,,https://www.beforward.jp/bmw/x3/cd357393/id/15311762/?mfg_year_from=2018
CD357408,2023 MAZDA CX-8 XDGRANDJOURN,CD357408,2023,"$20,400",,41686,2180,,AT,,,,0,0,0,0,0,0,0,0,Nagoya,,https://www.beforward.jp/mazda/cx-8/cd357408/id/15311777/?mfg_year_from=2018
CD357415,2018 LEXUS UX 200TFSPORT,CD357415,2018,"$15,300",,52638,2000,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/lexus/ux/cd357415/id/15311784/?mfg_year_from=2018
CD357420,2018 MAZDA CX-8 XD74WD,CD357420,2018,"$9,810",,80239,2200,,AT,,,,0,0,0,0,1,0,0,0,Kobe,,https://www.beforward.jp/mazda/cx-8/cd357420/id/15311789/?mfg_year_from=2018
